Time,torget_pm10_nilu,torget_pm10_iot,torget_opctemp_iot,torget_opchum_iot
2021-08-31 00:00:00,5.2,1.41090020395461,21,39.3809523809524
2021-08-31 01:00:00,4.7,1.44515564328148,21,40
2021-08-31 02:00:00,4.6,1.63918778726033,21,40.9047619047619
2021-08-31 03:00:00,4.2,1.64193259818213,21,41.5714285714286
2021-08-31 04:00:00,4.7,1.15657572746277,21,41.45
2021-08-31 05:00:00,4.7,1.80641330707641,20.952380952381,43.0952380952381
2021-08-31 06:00:00,3.4,1.71639142717634,20.047619047619,44.4285714285714
2021-08-31 07:00:00,3.1,2.38946936244056,21,45
2021-08-31 08:00:00,4.1,2.27555927634239,21.7,45
2021-08-31 09:00:00,5.7,2.42880523772467,21.0952380952381,47.8095238095238
2021-08-31 10:00:00,5.8,1.70937942323231,21.1904761904762,49.9047619047619
2021-08-31 11:00:00,4.6,1.5278394307409,22.4285714285714,48.6666666666667
2021-08-31 12:00:00,3.7,1.02938426434994,23,46.65
2021-08-31 13:00:00,2.8,1.4742439247313,22.1904761904762,48.0952380952381
2021-08-31 14:00:00,1.7,2.38677339610599,22.1904761904762,47.1904761904762
2021-08-31 15:00:00,2.2,3.04109379791078,23,43.4761904761905
2021-08-31 16:00:00,4.4,4.84810518083118,22.5238095238095,44.8095238095238
2021-08-31 17:00:00,6.6,5.41275349855423,23,43.65
2021-08-31 18:00:00,8,6.25335457211449,22.5238095238095,43.6190476190476
2021-08-31 19:00:00,10,6.82520322572617,21.2380952380952,44.3333333333333
2021-08-31 20:00:00,12.5,6.10566191446214,21,44.4285714285714
2021-08-31 21:00:00,13.8,5.70649757839385,21,42.8571428571429
2021-08-31 22:00:00,13,5.02405918836594,21,42
2021-08-31 23:00:00,11.3,4.86734477678935,21,42
2021-09-01 00:00:00,10.6,4.76450109481812,21,42.2857142857143
2021-09-01 01:00:00,10.4,5.43170194398789,20.047619047619,45.4761904761905
2021-09-01 02:00:00,8.6,5.25508657693863,20,48.35
2021-09-01 03:00:00,6.8,4.22093964758373,20,50.3333333333333
2021-09-01 04:00:00,5.7,1.71415080910637,20,52.1904761904762
2021-09-01 05:00:00,4,2.9635405824298,20,53.7142857142857
2021-09-01 06:00:00,2.4,5.07503297328949,20,54.15
2021-09-01 07:00:00,2.6,3.48960105578105,20,55.1428571428571
2021-09-01 08:00:00,4.1,3.04388234161195,20,56
2021-09-01 09:00:00,3.4,3.85667401268369,20,56.6190476190476
2021-09-01 10:00:00,2.7,3.21465530991554,20,57.55
2021-09-01 11:00:00,2.7,3.39896775994982,20.5714285714286,56.7142857142857
2021-09-01 12:00:00,1.5,2.25752147180693,21,55.4285714285714
2021-09-01 13:00:00,0.9,2.04398429109937,21,52.5238095238095
2021-09-01 14:00:00,0.8,2.96107669103713,21,51.5238095238095
2021-09-01 15:00:00,1.1,1.43589572608471,20.5,52.95
2021-09-01 16:00:00,1.8,0.958092493670327,20,54.0952380952381
