"Time","SDS011 PM2.5"
2022-01-04 01:00:00,1.39
2022-01-04 02:00:00,1.13
2022-01-04 03:00:00,1.55
2022-01-04 04:00:00,1.98
2022-01-04 05:00:00,1.12
2022-01-04 06:00:00,3.69
2022-01-04 07:00:00,9.50
2022-01-04 08:00:00,12.3
2022-01-04 09:00:00,12.5
2022-01-04 10:00:00,11.5
2022-01-04 11:00:00,12.0
2022-01-04 12:00:00,11.5
2022-01-04 13:00:00,9.49
2022-01-04 14:00:00,9.94
2022-01-04 15:00:00,10.5
2022-01-04 16:00:00,12.7
2022-01-04 17:00:00,14.9
2022-01-04 18:00:00,14.3
2022-01-04 19:00:00,12.1
2022-01-04 20:00:00,12.9
2022-01-04 21:00:00,8.97
2022-01-04 22:00:00,7.75
2022-01-04 23:00:00,4.80
2022-01-05 00:00:00,2.84
2022-01-05 01:00:00,1.60
2022-01-05 02:00:00,1.27
2022-01-05 03:00:00,1.24
2022-01-05 04:00:00,1.26
2022-01-05 05:00:00,1.10
2022-01-05 06:00:00,1.33
2022-01-05 07:00:00,1.76
2022-01-05 08:00:00,2.31
2022-01-05 09:00:00,2.65
2022-01-05 10:00:00,2.96
2022-01-05 11:00:00,3.70
2022-01-05 12:00:00,0.885
2022-01-05 13:00:00,0.996
2022-01-05 14:00:00,7.64
2022-01-05 15:00:00,7.54
2022-01-05 16:00:00,4.56
2022-01-05 17:00:00,0.958
2022-01-05 18:00:00,1.02
2022-01-05 19:00:00,6.13
2022-01-05 20:00:00,8.42
2022-01-05 21:00:00,9.22
2022-01-05 22:00:00,7.45
2022-01-05 23:00:00,2.16
2022-01-06 00:00:00,1.03
2022-01-06 01:00:00,0.966
2022-01-06 02:00:00,1.13
2022-01-06 03:00:00,1.63
2022-01-06 04:00:00,2.09
2022-01-06 05:00:00,2.01
2022-01-06 06:00:00,1.96
2022-01-06 07:00:00,2.17
2022-01-06 08:00:00,2.70
2022-01-06 09:00:00,2.38
2022-01-06 10:00:00,2.55
2022-01-06 11:00:00,2.97
2022-01-06 12:00:00,3.54
2022-01-06 13:00:00,2.90
2022-01-06 14:00:00,3.29
2022-01-06 15:00:00,3.61
2022-01-06 16:00:00,4.40
2022-01-06 17:00:00,5.77
2022-01-06 18:00:00,5.77
2022-01-06 19:00:00,6.88
2022-01-06 20:00:00,8.65
2022-01-06 21:00:00,6.02
2022-01-06 22:00:00,6.66
2022-01-06 23:00:00,4.40
2022-01-07 00:00:00,2.72
2022-01-07 01:00:00,2.86
2022-01-07 02:00:00,2.30
2022-01-07 03:00:00,1.53
2022-01-07 04:00:00,1.26
2022-01-07 05:00:00,0.951
2022-01-07 06:00:00,1.34
2022-01-07 07:00:00,1.91
2022-01-07 08:00:00,4.26
2022-01-07 09:00:00,7.47
2022-01-07 10:00:00,9.99
2022-01-07 11:00:00,12.8
2022-01-07 12:00:00,9.39
2022-01-07 13:00:00,11.0
2022-01-07 14:00:00,6.28
2022-01-07 15:00:00,4.01
2022-01-07 16:00:00,3.86
2022-01-07 17:00:00,2.43
2022-01-07 18:00:00,1.67
2022-01-07 19:00:00,1.79
2022-01-07 20:00:00,1.93
2022-01-07 21:00:00,2.45
2022-01-07 22:00:00,5.50
2022-01-07 23:00:00,2.00
2022-01-08 00:00:00,0.900
2022-01-08 01:00:00,1.07
2022-01-08 02:00:00,1.04
2022-01-08 03:00:00,0.682
2022-01-08 04:00:00,0.479
2022-01-08 05:00:00,0.505
2022-01-08 06:00:00,0.688
2022-01-08 07:00:00,0.486
2022-01-08 08:00:00,0.897
2022-01-08 09:00:00,1.98
2022-01-08 10:00:00,2.26
2022-01-08 11:00:00,3.80
2022-01-08 12:00:00,3.31
2022-01-08 13:00:00,3.63
2022-01-08 14:00:00,3.25
2022-01-08 15:00:00,6.56
2022-01-08 16:00:00,12.8
2022-01-08 17:00:00,15.6
2022-01-08 18:00:00,20.3
2022-01-08 19:00:00,21.8
2022-01-08 20:00:00,22.4
2022-01-08 21:00:00,18.7
2022-01-08 22:00:00,16.8
2022-01-08 23:00:00,14.5
2022-01-09 00:00:00,12.1
2022-01-09 01:00:00,9.28
2022-01-09 02:00:00,6.78
2022-01-09 03:00:00,4.48
2022-01-09 04:00:00,2.70
2022-01-09 05:00:00,1.82
2022-01-09 06:00:00,0.860
2022-01-09 07:00:00,0.702
2022-01-09 08:00:00,1.88
2022-01-09 09:00:00,2.36
2022-01-09 10:00:00,4.08
2022-01-09 11:00:00,6.01
2022-01-09 12:00:00,3.54
2022-01-09 13:00:00,2.54
2022-01-09 14:00:00,1.85
2022-01-09 15:00:00,2.26
2022-01-09 16:00:00,2.20
2022-01-09 17:00:00,1.22
2022-01-09 18:00:00,1.51
2022-01-09 19:00:00,1.38
2022-01-09 20:00:00,1.28
2022-01-09 21:00:00,1.39
2022-01-09 22:00:00,1.18
2022-01-09 23:00:00,1.24
2022-01-10 00:00:00,1.13
2022-01-10 01:00:00,0.812
2022-01-10 02:00:00,0.626
2022-01-10 03:00:00,0.598
2022-01-10 04:00:00,0.696
2022-01-10 05:00:00,0.700
2022-01-10 06:00:00,1.07
2022-01-10 07:00:00,1.90
2022-01-10 08:00:00,4.38
2022-01-10 09:00:00,6.55
2022-01-10 10:00:00,8.00
2022-01-10 11:00:00,9.26
2022-01-10 12:00:00,11.0
2022-01-10 13:00:00,12.4
2022-01-10 14:00:00,12.9
2022-01-10 15:00:00,14.7
2022-01-10 16:00:00,15.0
2022-01-10 17:00:00,18.1
2022-01-10 18:00:00,22.0
2022-01-10 19:00:00,21.3
2022-01-10 20:00:00,5.27
2022-01-10 21:00:00,1.51
2022-01-10 22:00:00,1.22
2022-01-10 23:00:00,0.992
2022-01-11 00:00:00,0.742
2022-01-11 01:00:00,0.888
2022-01-11 02:00:00,0.890
2022-01-11 03:00:00,1.06
2022-01-11 04:00:00,1.15
2022-01-11 05:00:00,1.36
2022-01-11 06:00:00,1.48
2022-01-11 07:00:00,1.62
2022-01-11 08:00:00,2.26
2022-01-11 09:00:00,3.06
2022-01-11 10:00:00,3.00
2022-01-11 11:00:00,3.51
2022-01-11 12:00:00,3.10
2022-01-11 13:00:00,3.62
2022-01-11 14:00:00,3.30
2022-01-11 15:00:00,5.23
2022-01-11 16:00:00,5.03
2022-01-11 17:00:00,6.77
2022-01-11 18:00:00,6.75
2022-01-11 19:00:00,7.25
2022-01-11 20:00:00,4.52
2022-01-11 21:00:00,4.18
2022-01-11 22:00:00,3.78
2022-01-11 23:00:00,4.47
2022-01-12 00:00:00,3.12
2022-01-12 01:00:00,3.60
2022-01-12 02:00:00,2.33
2022-01-12 03:00:00,1.78
2022-01-12 04:00:00,1.37
2022-01-12 05:00:00,0.423
2022-01-12 06:00:00,0.377
2022-01-12 07:00:00,0.336
2022-01-12 08:00:00,0.475
2022-01-12 09:00:00,0.625
2022-01-12 10:00:00,0.782
2022-01-12 11:00:00,0.901
2022-01-12 12:00:00,0.945
2022-01-12 13:00:00,1.40
2022-01-12 14:00:00,1.74
2022-01-12 15:00:00,2.43
2022-01-12 16:00:00,3.39
2022-01-12 17:00:00,1.90
2022-01-12 18:00:00,0.579
2022-01-12 19:00:00,0.895
2022-01-12 20:00:00,0.942
2022-01-12 21:00:00,0.697
2022-01-12 22:00:00,0.459
2022-01-12 23:00:00,0.307
2022-01-13 00:00:00,0.319
2022-01-13 01:00:00,0.382
2022-01-13 02:00:00,0.493
2022-01-13 03:00:00,0.316
2022-01-13 04:00:00,0.298
2022-01-13 05:00:00,0.200
2022-01-13 06:00:00,
2022-01-13 07:00:00,
2022-01-13 08:00:00,
2022-01-13 09:00:00,
2022-01-13 10:00:00,
2022-01-13 11:00:00,0.667
2022-01-13 12:00:00,0.825
2022-01-13 13:00:00,1.54
2022-01-13 14:00:00,3.01
2022-01-13 15:00:00,2.64
2022-01-13 16:00:00,3.08
2022-01-13 17:00:00,2.78
2022-01-13 18:00:00,2.76
2022-01-13 19:00:00,2.87
2022-01-13 20:00:00,2.79
2022-01-13 21:00:00,1.94
2022-01-13 22:00:00,1.71
2022-01-13 23:00:00,
2022-01-14 00:00:00,
2022-01-14 01:00:00,
2022-01-14 02:00:00,
2022-01-14 03:00:00,
2022-01-14 04:00:00,
2022-01-14 05:00:00,
2022-01-14 06:00:00,
2022-01-14 07:00:00,
2022-01-14 08:00:00,
2022-01-14 09:00:00,
2022-01-14 10:00:00,
2022-01-14 11:00:00,
2022-01-14 12:00:00,
2022-01-14 13:00:00,
2022-01-14 14:00:00,
2022-01-14 15:00:00,
2022-01-14 16:00:00,
2022-01-14 17:00:00,
2022-01-14 18:00:00,
2022-01-14 19:00:00,
2022-01-14 20:00:00,
2022-01-14 21:00:00,
2022-01-14 22:00:00,
2022-01-14 23:00:00,
2022-01-15 00:00:00,
2022-01-15 01:00:00,
2022-01-15 02:00:00,
2022-01-15 03:00:00,
2022-01-15 04:00:00,
2022-01-15 05:00:00,
2022-01-15 06:00:00,
2022-01-15 07:00:00,
2022-01-15 08:00:00,
2022-01-15 09:00:00,
2022-01-15 10:00:00,
2022-01-15 11:00:00,
2022-01-15 12:00:00,
2022-01-15 13:00:00,
2022-01-15 14:00:00,
2022-01-15 15:00:00,
2022-01-15 16:00:00,
2022-01-15 17:00:00,
2022-01-15 18:00:00,
2022-01-15 19:00:00,
2022-01-15 20:00:00,
2022-01-15 21:00:00,
2022-01-15 22:00:00,
2022-01-15 23:00:00,
2022-01-16 00:00:00,
2022-01-16 01:00:00,
2022-01-16 02:00:00,
2022-01-16 03:00:00,
2022-01-16 04:00:00,
2022-01-16 05:00:00,
2022-01-16 06:00:00,
2022-01-16 07:00:00,
2022-01-16 08:00:00,
2022-01-16 09:00:00,
2022-01-16 10:00:00,
2022-01-16 11:00:00,
2022-01-16 12:00:00,
2022-01-16 13:00:00,
2022-01-16 14:00:00,
2022-01-16 15:00:00,
2022-01-16 16:00:00,
2022-01-16 17:00:00,
2022-01-16 18:00:00,
2022-01-16 19:00:00,
2022-01-16 20:00:00,
2022-01-16 21:00:00,
2022-01-16 22:00:00,
2022-01-16 23:00:00,
2022-01-17 00:00:00,
2022-01-17 01:00:00,
2022-01-17 02:00:00,
2022-01-17 03:00:00,
2022-01-17 04:00:00,
2022-01-17 05:00:00,
2022-01-17 06:00:00,
2022-01-17 07:00:00,
2022-01-17 08:00:00,
2022-01-17 09:00:00,
2022-01-17 10:00:00,
2022-01-17 11:00:00,
2022-01-17 12:00:00,
2022-01-17 13:00:00,
2022-01-17 14:00:00,
2022-01-17 15:00:00,
2022-01-17 16:00:00,
2022-01-17 17:00:00,
2022-01-17 18:00:00,
2022-01-17 19:00:00,
2022-01-17 20:00:00,
2022-01-17 21:00:00,
2022-01-17 22:00:00,
2022-01-17 23:00:00,
2022-01-18 00:00:00,
2022-01-18 01:00:00,
2022-01-18 02:00:00,
2022-01-18 03:00:00,
2022-01-18 04:00:00,
2022-01-18 05:00:00,
2022-01-18 06:00:00,
2022-01-18 07:00:00,
2022-01-18 08:00:00,
2022-01-18 09:00:00,
2022-01-18 10:00:00,
2022-01-18 11:00:00,
2022-01-18 12:00:00,
2022-01-18 13:00:00,
2022-01-18 14:00:00,
2022-01-18 15:00:00,
2022-01-18 16:00:00,
2022-01-18 17:00:00,
2022-01-18 18:00:00,
2022-01-18 19:00:00,
2022-01-18 20:00:00,
2022-01-18 21:00:00,
2022-01-18 22:00:00,
